Team,Display Name,Finish,Total Points,Total Wins,Total Draws,Total Losses
Man City,Manchester City,40,1675,546,37,177
Spurs,Tottenham Hotspur,158,1315,424,43,293
Man Utd,Manchester United,80,1475,477,44,239
Brighton,Brighton and Hove Albion,180,1239,395,54,311
Aston Villa,Aston Villa,226,1164,371,51,338
Everton,Everton,347,546,139,129,492
Liverpool,Liverpool,98,1435,460,55,245
Burnley,Burnley,220,1164,367,63,330
Arsenal,Arsenal,70,1540,504,28,228
West Ham,West Ham,145,1352,433,53,274
Fulham,Fulham,214,1197,382,51,327
Newcastle,Newcastle United,142,1359,439,42,279
Chelsea,Chelsea,155,1349,431,56,273
Brentford,Brentford,195,1234,392,58,310
Wolves,Wolverhampton Wanderers,258,1074,335,69,356
Crystal Palace,Crystal Palace,229,1137,361,54,345
Bournemouth,Bournemouth,380,356,74,134,552
Sheffield Utd,Sheffield United,358,462,110,132,518
Luton,Luton,354,510,127,129,504
Nottingham Forest,Nottingham Forest,351,510,126,132,502
